Category,Task,Prompt
Memory and Malware Forensics,Heap and Stack String Analysis,Extract human-readable strings from heap and stack segments Identify configuration data  encryption keys  or command traces Report of extracted strings with memory address and context tags
Memory and Malware Forensics,Heap and Stack String Analysis,Extract plaintext strings from memory heap and stack regions Identify embedded commands  URLs  or exfiltrated data Annotated list of extracted strings with context
Memory and Malware Forensics,In-Memory PE Reconstruction,Rebuild Portable Executable (PE) files from memory segments Recover in-memory malware samples for further analysis Dumped executable files with reconstruction logs and hash values
Memory and Malware Forensics,Kernel Module and Driver Analysis,Identify unauthorized kernel modules or drivers loaded in memory Detect rootkits or kernel-level malware Report listing unsigned or hidden kernel modules with hashes
Memory and Malware Forensics,Malicious Thread Enumeration,Analyze threads in memory for abnormal start addresses or injected code Identify thread-level indicators of compromise Listing of threads with anomalous memory regions and parent processes
Memory and Malware Forensics,Malware Behavior Simulation,Run malware in a sandbox to capture behavior and system modifications Determine indicators of compromise (IOCs) and persistence methods Structured IOC list and behavior summary
Memory and Malware Forensics,Malware Family Classification,Compare recovered malware artifacts to known signatures or YARA rules Classify malware sample and identify related campaigns Classification report with matched YARA rules and families
Memory and Malware Forensics,Malware Persistence Mechanism Identification,Locate evidence of persistence mechanisms (e.g. hooks timers injected DLLs) within memory Reveal how malware survives reboots or user logouts Table of persistence indicators and corresponding process details
Memory and Malware Forensics,Malware Persistence Mechanism Identification,Analyze registry hives  startup folders  and scheduled tasks for persistence mechanisms Identify how malware maintains execution across reboots Table of persistence artifacts and associated executables
Memory and Malware Forensics,Malware String and Pattern Extraction,Search memory for known malware strings  URLs  and shellcode patterns Identify malicious payloads or exfiltration channels Text report of detected signatures with offsets and context
Memory and Malware Forensics,Malware Unpacking and Deobfuscation,Perform dynamic or static unpacking to recover the original payload Reveal hidden code and functionality of obfuscated malware Extracted code sample with function mapping
Memory and Malware Forensics,Memory Compression Artifact Recovery,Detect and decompress memory regions used by malware for stealth storage Recover compressed payloads or hidden data Extracted and decompressed binary sections for analysis
Memory and Malware Forensics,Memory Image Acquisition Validation,Verify the integrity and completeness of a captured memory image Ensure memory dump authenticity and readiness for analysis MD5/SHA256 hash verification report and acquisition metadata
Memory and Malware Forensics,Memory Snapshot Differential Analysis,Compare multiple memory snapshots to detect new processes or injected code Track malware evolution or persistence between states Differential report highlighting new or modified memory regions
Memory and Malware Forensics,Memory Timeline Reconstruction,Correlate process creation and thread activity over time Reconstruct execution timeline for malware activity Chronological event timeline of process activity
Memory and Malware Forensics,Memory-Based Credential Harvesting Analysis,Search memory for plaintext passwords  hashes or tokens Identify credential theft or privilege escalation attempts Extracted credentials with associated process and memory location
Memory and Malware Forensics,Memory-based DLL Hijacking Investigation,Identify processes with unexpected DLL loads from writable paths Detect DLL search order hijacking attempts Report of hijacked DLLs and related processes
Memory and Malware Forensics,Network Connection Reconstruction,Enumerate and correlate network connections from memory to detect C2 channels Reveal active or recent external communications Table listing remote IPs  ports  protocols  and owning processes
Memory and Malware Forensics,Process Enumeration and Injection Detection,Analyze active processes in memory to identify code injections or hollowed processes Detect in-memory persistence or evasion mechanisms List of processes with injected modules or suspicious handles
Memory and Malware Forensics,Process Hollowing Analysis,Detect discrepancies between process names and loaded image memory Reveal malware using legitimate processes as containers Table of hollowed processes and injected code hashes
Memory and Malware Forensics,Process Injection Chain Visualization,Map inter-process injection chains and relationships Visualize propagation and lateral movement across processes Graph representation of injected processes and linkage paths
Memory and Malware Forensics,Registry Hive Extraction from Memory,Recover registry hives from volatile memory for forensic inspection Identify persistence keys and execution traces Exported hive files and parsed registry entries
Memory and Malware Forensics,Rootkit Detection in Memory,Examine kernel memory structures to detect hidden modules or hooks Identify rootkit presence and persistence method Table of hidden kernel modules and modified system calls
Memory and Malware Forensics,Shellcode Extraction and Analysis,Identify and extract shellcode from memory for analysis Recover payload structure and functionality Disassembled shellcode annotated with function signatures
Memory and Malware Forensics,Volatile Artifact Timeline Reconstruction,Reconstruct timeline of user and system activities based on volatile artifacts Correlate system actions during compromise window Chronological report of memory artifacts and related timestamps
Memory and Malware Forensics,Volatile Memory Dump Analysis,Examine a memory dump using Volatility or Rekall to identify active processes and network connections Detect signs of malware or unauthorized access Report of suspicious processes and network sessions
Memory and Malware Forensics,Volatility Plugin Correlation Analysis,Run multiple Volatility plugins and cross-reference results to identify anomalies Correlate process  network  and DLL evidence for deeper insight Correlated output table linking PIDs  connections  and modules
Mobile Forensics,"App Usage Analysis -Identify user interactions within messaging, social media, or financial apps.","Input: exports from app-specific databases (e.g., WhatsApp, Telegram, Facebook, Venmo) in TXT, CSV, DOC, XLS, XLSX, PDF, or JSON. Reconstruct message history, contact interactions, and activity timestamps."
Mobile Forensics,"Application Installation History -Determine apps installed, removed, or updated around incident windows.","Input: exports from package manager or iTunes backup data in TXT, CSV, or JSON. Identify installation timestamps and app version histories."
Mobile Forensics,Call Log and Contact Correlation -Rebuild calling patterns and relationships between contacts.,"Input: exports from call logs, contact lists, and call duration metadata in TXT, CSV, or JSON. Identify frequent correspondents and correlate with SMS or chat data."
Mobile Forensics,Cloud Backup Correlation -Cross-validate local device data with cloud backups.,"Input: exports from iCloud, Google Drive, or Samsung Cloud backups in TXT, CSV, DOC, XLS, XLSX, PDF, or JSON. Compare against on-device data to locate deleted content or message discrepancies."
Mobile Forensics,"Comprehensive Mobile Timeline Correlation - Unify calls, SMS, app use, and location events into a behavioral timeline.","Input: exports from call logs, messages, GPS data, and app activity in TXT, CSV, or JSON. Integrate timestamps into a single chronological model of user behavior before, during, and after the event of interest."
Mobile Forensics,Location Data Analysis -Reconstruct user movement and presence at key locations.,"Input: exports from GPS, Wi-Fi, and cell tower logs from device location databases (e.g., com.android.location.fused or Apple consolidated.db) in TXT, CSV, or JSON. Plot routes and temporal movement patterns."
Mobile Forensics,"Media and File Artifact Analysis -Identify images, videos, or documents relevant to the investigation.","Input: exports from DCIM and app-specific media directories, EXIF data, and file hashes in TXT, CSV, or JSON. Detect copied, shared, or newly captured files around incident dates."
Mobile Forensics,Mobile Browser Forensics -Identify web activity and potential exfiltration sites.,"Input: exports from browser history, cache, and cookies from Chrome, Safari, or Samsung Internet in TXT, CSV, or JSON. Uncover search terms, downloads, and potential access to webmail or storage platforms."
Mobile Forensics,SMS and MMS Forensics -Recover deleted or hidden text communications.,"Input: exports from SMS and MMS databases in TXT, CSV, or JSON. Parse for recovered, deleted, or fragmented message records; identify gaps in message sequences that align with known incident times."
Network and Communication Forensics,Cloud Service Forensics,"Input: exports from API access logs and OAuth tokens for Google, Microsoft, or AWS in TXT, CSV, or JSON. Detect anomalous sessions, access from new geolocations, or bulk data retrieval."
Network and Communication Forensics,Comprehensive Network Timeline Correlation -Rebuild a unified timeline of all communications and network events.,"Input: exports from PCAP sessions, email metadata, firewall events, and proxy activity in TXT, CSV, or JSON. Produce a chronological view of user communications, data movement, and external contact points."
Network and Communication Forensics,DNS Forensics - Identify possible domain generation algorithm (DGA) or suspicious resolutions.,"Input: exports from DNS query logs in TXT, CSV, or JSON. Analyze for entropy, frequency, and failed lookups to detect automated or algorithmically generated domains."
Network and Communication Forensics,Email Header and SMTP Analysis -Trace origin and routing of suspect emails.,"Input: exports from full email headers in TXT, CSV, or JSON. Parse to identify source IPs, mail relays, DKIM/SPF validation results, and potential spoofing indicators."
Network and Communication Forensics,Email and Messaging Platform Analysis -Correlate email and chat communications across multiple platforms.,"Input: exports from logs of Outlook, Gmail, Slack, and Teams in TXT, CSV, DOC, XLS, XLSX, PDF, or JSON. Identify coordinated communications, shared file links, or overlapping timestamps of message delivery."
Network and Communication Forensics,Firewall Log Analysis - Detect intrusion attempts or unusual outbound traffic patterns.,"Input: exports from firewall and IDS/IPS logs in TXT, CSV, or JSON. Identify port scans, repeated authentication failures, or large outbound data transfers correlated with known endpoints."
Network and Communication Forensics,Network Traffic Analysis - Identify command-and-control or exfiltration channels.,"Input: exports from captured PCAP or Zeek logs in TXT, CSV, or JSON. Reconstruct TCP/UDP sessions, extract suspicious domains or IPs, and detect anomalies such as beaconing or data exfiltration attempts."
Network and Communication Forensics,Network Traffic Analysis - Rebuild user browsing and file transfer activity.,"Input: exports from PCAP or proxy logs in TXT, CSV, or JSON. Reconstruct HTTP/HTTPS requests, file downloads, and upload sessions, correlating with user accounts and timestamps."
Network and Communication Forensics,VPN and Proxy Forensics,"Input: exports from VPN, proxy, or SSH tunnel logs in TXT, CSV, or JSON. Correlate connections with endpoint timestamps to reveal attempts to obscure communication or bypass security controls."
Network and Communication Forensics,Wireless Network Forensics - Reconstruct user associations and device movements.,"Input: exports from Wi-Fi logs and captured handshakes in TXT, CSV, or JSON. Identify which networks a device associated with, along with signal strength over time for location approximation."
Nmap,Analyze Nmap Data,You now have access to Nmap data [LIST DATA SOURCE NAME OR PASTE NMAP SCAN RESULTS HERE].  Using this below data and no other - What does this nmap result indicate?
Nmap,Analyze Nmap Data - CVE Lookup and Remediation,[NOTE:  Start the prompt with the @agent command to invoke external communication - remove everything in these brackets and begin the prompt as shown starting with @agent] @agent research [ENTER CVE NUMBER HERE - G150CVE-2016-0777] and how to fix it
Prefetch Analysis,Identify applications recently executed and frequency of execution.,"Input: parsed exports from Windows Prefetch (.pf) files in TXT, CSV, or JSON. List executable names, run counts, and last execution timestamps, correlating them with known incident timeframes."
Redaction,Mult-Section Redaction,"You are an expert digital forensics analyst. Your sole input source is the selected DATA SOURCE.  Do not use any external data, tools, knowledge, or references. Only analyze the content of the file(s) you are given.

READING INSTRUCTIONS:

Carefully and thoroughly read every file(s) in the DATA SOURCE. Do not skim. Do not summarize until all relevant content has been evaluated.

Now perform the following task:

Search for references to [SEARCH CRITERIA]. Then, provide a complete, whole, entire transcription of all file(s) that fit the SEARCH CRITERIA, with the exception of the section(s) pertaining to [SEARCH CRITERIA] and replace those word(s) in that section(s) with the word “REDACTED”. In other words, provide a complete transcription of the document(s), but remove the [SEARCH CRITERIA] WORD(S) section(s), and replace the word(s) in that section(s) with the word “REDACTED” to denote that this section of the document has been redacted.

Example 1:  If the SEARCH CRITERIA was the words ""Palo Alto"" and the relevant document text was:
 
""Palo Alto Networks will buy login software firm CyberArk for $25 billion, the companies announced on Wednesday. CyberArk, a publicly traded startup based in Maryland, sells software for verifying the identities of company employees when they log into applications that run in the cloud.

Apple officially responded to the U.S. Department of Justice’s antitrust lawsuit, saying the agency’s case seeks to “degrade the privacy and security benefits of iPhone” and would “eliminate” its competitive differentiation.

JPMorgan Chase and Coinbase signed an agreement to directly link customers’ bank accounts to their cryptocurrency wallets.""

The redacted result would be: 

""REDACTED

Apple officially responded to the U.S. Department of Justice’s antitrust lawsuit, saying the agency’s case seeks to “degrade the privacy and security benefits of iPhone” and would “eliminate” its competitive differentiation.

JPMorgan Chase and Coinbase signed an agreement to directly link customers’ bank accounts to their cryptocurrency wallets.""

In this case, the entire sentence(s) / paragraph(s) pertaining the topic of Palo Alto Networks was replaced with the word REDACTED

After the last line of email text, skip two lines and add a BATES NUMBER, with the following format [BATES: CASE NAME - RANDOM 5 DIGIT NUMBER - RANDOM TWO LETTERS] for example: BATES: CASE 5-12345-XX

Your DATA SOURCE IS: (EXAMPLES, BELOW OR FILE NAME FROM THE CASE)

[INSTRUCTIONS TO USER: REMOVE EVERYTHING IN THIS SECTION BEFORE USING THIS PROMPT.  IN THIS PROMPT YOU WILL SEE REFERENCES TO ""[SEARCH CRITERIA]"" IN BRACKETS AND ""SEARCH CRITERIA"" WITHOUT BRACKETS.  YOU WILL REPLACE THE ""[SEARCH CRITERIA]"" WITH THE ACTUAL KEYWORD TO BE REDACTED.  THE NON BRACKET REFERENCES ARE THERE FOR CONTEXT. --- REMOVE THIS SECTION BEFORE USING THIS PROMPT]"
Redaction,Single Word Redaction,"You are an expert digital forensics analyst. Your sole input source is the selected DATA SOURCE.  Do not use any external data, tools, knowledge, or references. Only analyze the content of the file(s) you are given.

READING INSTRUCTIONS:

Carefully and thoroughly read every file(s) in the DATA SOURCE. Do not skim. Do not summarize until all relevant content has been evaluated.

Now perform the following task:

Search for references to [SEARCH CRITERIA]. Then, provide a complete, whole, entire transcription of all file(s) that fit the SEARCH CRITERIA, with the exception of the word [SEARCH CRITERIA] and replace those word(s) with the word “REDACTED”. In other words, provide a complete transcription of the document(s), but remove the word [SEARCH CRITERIA WORD], and replace the word in that section(s) with the word “REDACTED” to denote that this word in the document has been redacted.

Example 1:  If the SEARCH CRITERIA was the word ""Bob"" and the relevant sentence was ""Bob went to work"" the redacted result would be ""REDACTED went to work""

Example 2:  If the SEARCH CRITERIA was the words ""Bob Smith"" and the relevant sentence was ""Bob Smith gets $100.00 but tell Bob to be careful how he spends it"" the redacted result would be ""REDACTED gets $100.00 but tell REDACTED to be careful how he spends it.""

After the last line of produced document text, skip two lines and add a BATES NUMBER, with the following format [BATES: CASE NAME - RANDOM 5 DIGIT NUMBER - RANDOM TWO LETTERS] for example: BATES: CASE 5-12345-XX

Your DATA SOURCE IS: (EXAMPLES, BELOW OR FILE NAME FROM THE CASE)

[INSTRUCTIONS TO USER: REMOVE EVERYTHING IN THIS SECTION BEFORE USING THIS PROMPT.  IN THIS PROMPT YOU WILL SEE REFERENCES TO ""[SEARCH CRITERIA]"" IN BRACKETS AND ""SEARCH CRITERIA"" WITHOUT BRACKETS.  YOU WILL REPLACE THE ""[SEARCH CRITERIA]"" WITH THE ACTUAL KEYWORD TO BE REDACTED.  THE NON BRACKET REFERENCES ARE THERE FOR CONTEXT. --- REMOVE THIS SECTION BEFORE USING THIS PROMPT]"
Registry Forensics,Determine user account activity and mounted external drives.,"Input: exports from registry hives (NTUSER.DAT, SAM, SYSTEM) in TXT, CSV, DOC, XLS, XLSX, PDF, or JSON. Analyze 'MountPoints2' and 'RecentDocs' keys to reconstruct user interaction with external devices and recently accessed files."
Registry Forensics,Identify persistence mechanisms and unauthorized software installations.,"Input: registry exports in TXT, CSV, DOC, XLS, XLSX, PDF, or JSON containing Windows registry keys under 'Run', 'RunOnce', 'Services', and 'StartupApproved'. Analyze to detect persistence entries or auto-start programs associated with non-standard executables."
SMS,Correlate SMS content with email or other communication channels.,"Cross-correlate SMS text bodies with contemporaneous emails or chat logs to identify duplicated or confirmatory messages, indicating coordinated actions."
SMS,Identify communication spikes or abnormal messaging patterns.,Analyze SMS timestamp distribution over time to detect anomalous bursts of messaging activity correlating with known incidents or user actions.
SMS,Identify possible message deletions or use of alternate communication apps.,"Analyze SMS message index continuity and database fragmentation to detect deleted records; correlate gaps with app installation logs or data from WhatsApp, Signal, or Telegram."
Shellbag,Correlate ShellBag times with system artifacts to confirm user activity.,"Input: ShellBag events exported to JSON, TXT, or CSV, USN journal entries exported to TXT, CSV, or JSON, MFT records exported to TXT, CSV, or JSON, and Explorer/RecentDocs MRU lists exported to TXT, CSV, or JSON. Cross-correlate by path and timestamp and produce grouped events showing corroboration (e.g., ShellBag LastWrite + MFT create + USN modify). For each correlation, state whether it confirms, contradicts, or is neutral toward the ShellBag-inferred activity."
Shellbag,"Detect likely user navigation patterns (e.g., frequent folder visits indicating interest).","Input: ShellBag MRU orders and timestamps per user exported to TXT, CSV, or JSON. Analyze MRU orders and timestamp density to infer frequently accessed folders, likely workflows (e.g., repeated open of project folder then subfolder), and any sudden changes in behavior. Output top 10 folders by access frequency and short natural-language observations."
Shellbag,"Detect suspicious anomalies in ShellBag data (timestamps out of order, tampering indicators).","Input: ShellBag timeline for a user exported to TXT, CSV, or JSON. Identify anomalies such as non-monotonic timestamps, very old timestamps with recent MRU order, or entries created on improbable times (e.g., system off). For each anomaly, explain why it's suspicious and list other artifacts to check for tampering (e.g., registry restore points, backups, hive file modification times)."
Shellbag,Find potential attempts to hide activity via renamed/moved folders.,"Input: ShellBag entries exported to TXT, CSV, or JSON and MFT rename/move records exported to TXT, CSV, or JSON (if available). Identify ShellBag entries that indicate a folder existed in one path and later in another path (same GUID/identifier or similar folder hash), suggesting rename or move. List candidate rename/move events with timestamps and confidence level."
Shellbag,"Identify evidence of external/media access (USB, network share) from ShellBags.","Input: ShellBag entries exported to TXT, CSV, or JSON. Flag entries that reference removable media/drives or UNC/nas paths. For each flagged entry provide: the referenced device/UNC, first and last observed timestamp, and whether the path appears ephemeral (e.g., drive letter only once) or persistent."
Shellbag,"Identify evidence of external/media access (USB, network share) from ShellBags.","Input:  ShellBag events exported to JSON, TXT, or CSV.  Analyze and cross-correlate all activity in the following logs, and no other, that would indicate any attempt to access and copy data, any attempt to access an account by an account other than what appears to be its intended owner, any unauthorized access to accounts, any unauthorized access to systems, violate policy, steal funds, steal intellectual property, conspire with others to commit a crime, steal data or violations of sound information security / network security processes that can lead to any of the aforementioned. Include excerpts of the specific log data instead of just referencing the specific data source."
Shellbag,"Path resolution & mapping. Resolve ShellBag entries to human-readable absolute paths, including mapped network shares and removed volumes.","Input: ShellBag entries exported to TXT, CSV, or JSON with GUIDs/volume IDs + auxiliary info (mounted devices list if available, exported to TXT, CSV, or JSON). Resolve each ShellBag to absolute path: map CLSID folder names, translate GUIDs to known special folders, and map volume GUIDs/drive letters. Where resolution fails, explain why and list what additional data would help."
Shellbag,Produce a prioritization list of systems to examine first based on ShellBag evidence of recent activity.,"Input: multi-host ShellBag summaries exported to TXT, CSV, or JSON with last-observed timestamps. Rank systems by recency and density of ShellBag changes in the last N days, and output a recommended investigative order with short justification for each host."
Shellbag,"Quickly identify folders related to a given keyword (project name, suspected data name) in ShellBags.","Input: ShellBag entries exported to TXT, CSV, or JSON and keyword list (e.g., ""Project Alpha"", ""Invoice"", ""Payroll""). Search entries for matches in path names, folder names, and CLSID descriptions. Return matching entries sorted by most recent timestamp and include full resolved path and host/user."
Shellbag,Timeline & activity reconstruction.  Create a chronological timeline of folder accesses/changes from ShellBags.,"Input: structured ShellBag entries exported to JSON, TXT or CSV. Produce a timeline sorted by timestamp (ISO 8601). For each event include: timestamp, user/hive, absolute path, event type (created/modified/access inferred from timestamp), and confidence score with reasoning (e.g., ""LastWrite on {key} likely indicates folder metadata changed by Explorer at X time""). Group near-simultaneous events and note ordering conflicts."
ShimCache Analysis,"Determine which applications have been executed, including deleted ones.","Input: exports from AppCompatCache entries in the SYSTEM hive in TXT, CSV, or JSON. Identify historical executions of applications that may no longer exist on disk."
Statement Contradiction Analysis,Analyze statements between multiple files for contradictions,"Here is a copy of [FILE 1] AND [FILE 2] [COMBINED INTO SINGLE ATTACHED FILE - OR - AS TWO SEPARATE FILES].  Using file THIS DATA and no other, Based on the statements made [BYPERSON OF INTEREST IF APPLICABLE] in both documents, are there any contradictions or inconsistencies between statements?"
System Memory,Analysis of memory artifact,"The following data was recovered from active system memory on [OS details]. Based solely on the memory contents provided, analyze and explain the significance of this information in a forensic context. What activity or state does it most likely represent?"
USB Analysis,Produce a multi-column report of all the unique USB devices that have been attached to a system,"You now have access to a file named [USB-HISTORY.CSV]. Using this file and no other, analyze file and produce a multi-column report of all the unique USB devices that have been attached to this system. Identify the unique Item name, based on Serial Number"
USN Journal,Identify evidence of unauthorized access to data,"Input: exports from MFT, USNJRNL AND LOGFILE FROM A WINDOWS SYSTEM in TXT, CSV, DOC, XLS, XLSX, PDF, or JSON. CROSS-CORRELATE THIS DATA AND PROVIDE A REPORT IF THERE IS ANY EVIDENCE that would indicate any attempt to access and copy data, any attempt to access an account by an account other than what appears to be its intended owner, any unauthorized access to accounts, any unauthorized access to systems, violate policy, steal funds, steal intellectual property, conspire with others to commit a crime, steal data or violations of sound information security / network security processes that can lead to any of the aforementioned. Include excerpts of the specific log data instead of just referencing the specific data source."
Wi-Fi (WLAN),Provide a report of all Wi-Fi networks that were accessed after a specific date,"You now have access to data source named [WLAN.CSV]. Using this data and no other, provide a report of all Wi-Fi networks that were accessed after [DATE]. The report will include the SSID and last date of access."
Rafael(Prompts),Provide a report of all Wi-Fi networks that were accessed after a specific date,"You now have access to data source named [WLAN.CSV]. Using this data and no other, provide a report of all Wi-Fi networks that were accessed after [DATE]. The report will include the SSID and last date of access."
